         100  -2952.7480693828848       -3290.2523446214996        337.50427523861464        15084.680184177978        290.48870415695961        891.86638587475773        358.88998901335162       -28.076894222013188     
         200  -3128.5063239612141       -3504.7559242726106        376.24960031139619        15283.124328064770        303.89755254573896        971.21743778298537        344.48254963394243       -23.044459691902372     
         300  -3202.9560950387236       -3607.7390313450801        404.78293630635619        15359.976421460471        311.26254437396375        1019.6127080601727        318.53188099561424       -22.156875511554031     
         400  -3228.6772888546907       -3610.4406595792329        381.76337072454226        15363.913533509580        306.32722363346892        992.07922473269321        325.04888379881220       -21.481597830453840     
         500  -3268.1207989146610       -3655.8235481348352        387.70274922017427        15423.204070382606        307.78918134803047        1006.9667782184222        327.12254398835393       -19.386365435619698     
         600  -3253.2500559501896       -3620.2357830748383        366.98572712464875        15486.843409737976        301.42622708011385        980.39200562676695        338.00775608472412       -16.300427428873700     
         700  -3292.8257401405808       -3709.5277238949830        416.70198375440202        15547.090544694680        316.16237849078470        1059.7186017557090        340.38328639703741       -16.801328250566897     
         800  -3319.4776401653362       -3783.5747840829526        464.09714391761645        15502.652826272764        325.85977009661264        1119.6663489354601        348.04183370641783       -16.010159876691951     
         900  -3341.5244014563359       -3773.0676637675947        431.54326231125896        15538.407516273475        315.92813363507798        1076.6766117560355        347.92852676122840       -13.123239622433745     
        1000  -3290.4665547456721       -3747.3685104282858        456.90195568261390        15528.200646445503        318.46660763300872        1100.5849359068873        340.86520473165081       -13.313679923126815     
        1100  -3319.5142613755352       -3752.1269399768235        432.61267860128805        15532.382018301327        314.05869244660704        1070.7995241784952        337.31684216147255       -11.687377909412787     
        1200  -3289.2770809271838       -3689.8593448410452        400.58226391386142        15612.531008409651        306.58423133629458        1032.2494043408035        334.84115336967108       -11.120671522881667     
        1300  -3318.3119061374337       -3759.4172836729808        441.10537753554706        15631.676925531852        315.10988172992228        1089.4359181728446        337.69906196842737       -10.245827467985208     
        1400  -3323.2210246046652       -3770.8812851076336        447.66026050296824        15693.752524257823        321.93485847526273        1111.9912711448278        349.44010377728762       -10.816251768981683     
        1500  -3331.1146164368697       -3785.1866079197825        454.07199148291306        15746.059483736692        321.13156166867577        1122.9668527456961        368.76222213131570       -7.3085609611630753     
        1600  -3360.6235544240685       -3800.7412140383444        440.11765961427596        15697.021828064304        317.01049995485084        1099.8412259641066        358.32924198079195       -6.8182212871315464     
        1700  -3324.3590306523465       -3805.7154573051157        481.35642665276879        15875.790343516461        323.09854171802749        1161.5201443128174        374.54837359819930       -7.2048835836187736E-003
        1800  -3371.8992442240565       -3777.3062228360732        405.40697861201699        15776.743481049514        309.48628453213905        1057.9347513937137        340.34056282748645       -3.2128812363679606     
        1900  -3335.1756994778007       -3777.7639527812739        442.58825330347355        15804.068073211392        315.67723179518907        1106.0972528862137        356.48798299628703       -3.4091101235541408     
        2000  -3328.6319606287670       -3724.1348235949126        395.50286296614553        15671.515098363336        306.21728901766517        1033.9700693944578        353.19528817744998       -7.3078146501122569     
        2100  -3331.9017290620582       -3723.2040044770720        391.30227541501392        15655.065452315468        303.73052808556594        1023.3078169133692        339.66623706837782       -6.4145505312090956     
        2200  -3356.0695900408350       -3754.3914427567333        398.32185271589856        15795.166007325286        306.02576315596713        1047.9710259715237        347.07719096074408       -3.5369220498340663     
        2300  -3318.6769009478712       -3741.8839786162102        423.20707766833908        15798.816829011599        308.59401257747771        1074.6990813618229        360.15079677726715       -2.3790999961855395     
        2400  -3345.9776456997538       -3731.5852053671824        385.60755966742892        15630.907389051157        304.97223570572407        1019.9236052982001        341.02575383585031       -8.8816345644294135     
        2500  -3328.3387684911222       -3735.0984991199302        406.75973062880820        15777.483991886580        312.55376436508209        1062.3607742798379        346.75254852690284       -6.8096589011115816     
        2600  -3302.6366872015851       -3694.2509226600650        391.61423545847993        15719.804594096642        306.12530924127299        1031.9686038920768        353.60130965623540       -7.3506439109821109     
        2700  -3329.6389041828884       -3759.7642116544216        430.12530747153340        15624.567162766085        311.71853668249764        1071.3796011300492        324.92153800946312       -8.5045229013252683     
        2800  -3356.0082324701998       -3827.1392482555357        471.13101578533610        15684.590579469439        322.56719993360747        1135.7212667734329        333.58141383821146       -7.2363306542235941     
        2900  -3374.3392434160273       -3855.8962658000833        481.55702238405610        15752.670273361533        322.32951346118773        1153.0149298981510        330.05363477636160       -4.6520893008089423     
        3000  -3357.4559074269123       -3814.4903261022032        457.03441867529119        15793.011215319142        317.69639510399406        1123.3885809845447        342.53371179943707       -2.9855234972301408     
        3100  -3341.5920661015452       -3734.3856902434113        392.79362414186591        15708.994291503084        303.81912414135786        1031.0197751732505        338.31947318217283       -6.1595286793817996     
        3200  -3335.3296353919777       -3723.5896292248322        388.25999383285460        15656.955638237903        302.31080454482361        1019.9329501213772        331.23628747906650       -8.1176183156947523     
        3300  -3314.6035319771800       -3765.3589403112896        450.75540833410992        15719.039714259467        318.43845457449726        1109.3025356832022        340.28253740482847       -7.4604646656047180     
        3400  -3340.4137180240778       -3765.6146456567371        425.20092763265927        15833.495638396156        310.73121510214924        1083.8418067975015        351.16273684034462       -2.1654031732325185     
        3500  -3361.9040428435692       -3794.5666765303445        432.66263368677568        15797.552041868901        312.66092434290522        1092.4016313982900        342.40887026668588       -2.9898697141834272     
        3600  -3351.2208201726262       -3769.9748641385336        418.75404396590761        15855.606861972617        312.84980158945757        1083.0233618951711        363.20206199527507       -1.5930877975121074     
        3700  -3376.5236097733123       -3766.3475741229654        389.82396434965341        15698.243247224207        305.45244376248996        1032.4432121748905        331.52193533016339       -7.4107702092665768     
